filename,doc_id,path,type,extension,size_Mb,hash,language,pages,sheets,table_count,dpi,noise,img_width,img_height,dpi_estimated,is_low_dpi,skew_angle,requires_ocr,image_count,has_geo_headers,ocr_risk
Implementation of seismic surveys on the Norwegian Continental Shelf.docx,Implementation of seismic surveys on the Norwegian Continental Shelf,data\raw\doc_Word,doc_Word,docx,0.217,65bb384db3d6d26e073eefcc9e1ee50c,en,22.0,,0,96.0,85.80180750981691,234.0,347.0,96.0,True,,False,5,True,low
Integration of and Model-Based Seismic Inversion and Neural Network Method.docx,Integration of and Model-Based Seismic Inversion and Neural Network Method,data\raw\doc_Word,doc_Word,docx,2.259,4a6464bbb7426431178dbebebe8e6a9c,en,9.0,,2,96.012,54.69805590475937,494.0,677.0,96.012,True,,False,63,True,low
Integration of Deterministic Seismic inversion with Machine Learning.docx,Integration of Deterministic Seismic inversion with Machine Learning,data\raw\doc_Word,doc_Word,docx,4.638,524bdcf6f69014c94e2efeee2956b1dc,en,6.0,,4,96.012,42.473110318372186,1340.0,1364.0,96.012,True,,False,7,True,low
Poro-Acoustic Impedance.docx,Poro-Acoustic Impedance,data\raw\doc_Word,doc_Word,docx,2.842,aa822280e67224081c2a6ff633556764,en,14.0,,3,96.0,42.75970084230958,622.0,625.0,96.0,True,,False,26,True,low
Probabilistic inversion of seismic data.docx,Probabilistic inversion of seismic data,data\raw\doc_Word,doc_Word,docx,2.088,786c55cedbc4ae7c827829be44de5988,en,20.0,,0,96.012,0.0,10.0,40.0,96.012,True,,False,10,True,low
Qualitative and quantitative reservoir characterization using seismic inversion.docx,Qualitative and quantitative reservoir characterization using seismic inversion,data\raw\doc_Word,doc_Word,docx,6.17,cdb68c1cd597a60ae6259c130c4b506c,en,19.0,,2,96.012,60.58707419870356,1273.0,1352.0,96.012,True,,False,11,True,low
Reservoir Characterization Based on Bayesian AVO.docx,Reservoir Characterization Based on Bayesian AVO,data\raw\doc_Word,doc_Word,docx,3.722,1405957a2e0298160fba3d9992ea2890,en,22.0,,1,149.987,0.0,6.0,21.0,149.987,True,,False,23,True,low
Reservoir Characterization Integrating Seismic Attributes.docx,Reservoir Characterization Integrating Seismic Attributes,data\raw\doc_Word,doc_Word,docx,4.615,84c46bd76a3adc290455421c1ed1bd9a,en,14.0,,0,220.0,57.7987092195542,1448.0,329.0,220.0,True,,False,10,True,low
Reservoir Characterization Using Intelligent Seismic Inversion.docx,Reservoir Characterization Using Intelligent Seismic Inversion,data\raw\doc_Word,doc_Word,docx,2.587,248b1403e89d02381d1ab80e7804022c,en,18.0,,10,96.0,55.54747708539782,439.0,352.0,96.0,True,,False,52,True,low
Seismic_Imaging_and_Interpretation_Techniques.docx,Seismic_Imaging_and_Interpretation_Techniques,data\raw\doc_Word,doc_Word,docx,0.229,bbd851df860974bbff81187741dd3be5,en,5.0,,0,96.0,35.65588570135424,497.0,487.0,96.0,True,,False,3,True,low
Seismic_Imaging_and_Interpretation_Techniques_doc.doc,Seismic_Imaging_and_Interpretation_Techniques_doc,data\raw\doc_Word,doc_Word,doc,0.253,cadbcced3f06f359fbd4b82ffcd1e877,en,5.0,,0,,,,,,False,,False,0,True,low
Annual Energy  Oil and Gas Supply.xlsx,Annual Energy  Oil and Gas Supply,data\raw\tables,tables,xlsx,0.021,5af987d46effeb975362aa949a40bc07,en,,1.0,1,,,,,,False,,False,0,True,low
"Annual Energy  Total Energy Supply, Disposition, and Price Summary.xlsx","Annual Energy  Total Energy Supply, Disposition, and Price Summary",data\raw\tables,tables,xlsx,0.027,f737af0e556fe1e28bf171d0107e2258,en,,1.0,1,,,,,,False,,False,0,True,low
CP_Kronos1_Well_Seismic_Report_VSP_data.xlsx,CP_Kronos1_Well_Seismic_Report_VSP_data,data\raw\tables,tables,xlsx,0.024,3ed7dd6c97a3f572f6597208cd1ffc89,en,,1.0,1,,,,,,False,,False,0,True,low
Crude Oil and Natural Gas Exploratory and Development Wells.xlsx,Crude Oil and Natural Gas Exploratory and Development Wells,data\raw\tables,tables,xlsx,0.017,045cb6bffb9a6b2745821384f6fb063f,en,,2.0,2,,,,,,False,,False,0,True,low
DPR_data_region_month_oil_natural_gas.xlsx,DPR_data_region_month_oil_natural_gas,data\raw\tables,tables,xlsx,0.151,8d23dbda85513d899ca153b8254f0fc1,en,,8.0,8,,,,,,False,,False,0,True,low
GEoREST_induced_seismicity_database_20_11_2022.xlsx,GEoREST_induced_seismicity_database_20_11_2022,data\raw\tables,tables,xlsx,0.148,9a6a0ff020a4e0f9db216a64ea166816,en,,1.0,1,,,,,,False,,False,0,True,low
Oil well operation parameters (2013).xlsx,Oil well operation parameters (2013),data\raw\tables,tables,xlsx,0.016,7895d18a4c38bb4131925a1c01f328fd,en,,1.0,1,,,,,,False,,False,0,True,low
Oil_and_Gas_Wells.xlsx,Oil_and_Gas_Wells,data\raw\tables,tables,xlsx,0.951,e2be97b7153260f1c6b9519a5a965b3b,en,,1.0,1,,,,,,False,,False,0,True,low
"Petroleum Segments_Exploration, Development, & Production Statistics.xlsx","Petroleum Segments_Exploration, Development, & Production Statistics",data\raw\tables,tables,xlsx,0.078,368bf4622ff84b714843350ce675e06f,en,,1.0,1,,,,,,False,,False,0,True,low
Petroleum Segments_Proved Petroleum Reserves.xlsx,Petroleum Segments_Proved Petroleum Reserves,data\raw\tables,tables,xlsx,0.079,684a24dea16b7b1394270ed803f07bbc,en,,1.0,1,,,,,,False,,False,0,True,low
Pools allocated to petroleum system in the San Joaquin Basin Province.xlsx,Pools allocated to petroleum system in the San Joaquin Basin Province,data\raw\tables,tables,xlsx,0.13,b13e8cdacf35831c0bcb324ffc44adb6,en,,1.0,1,,,,,,False,,False,0,True,low
Reservoir rock allocated to each producing zone all.xlsx,Reservoir rock allocated to each producing zone all,data\raw\tables,tables,xlsx,0.017,2ba39f18af24d90722d9e3e8b349cab1,en,,1.0,1,,,,,,False,,False,0,True,low
Reservoir rock allocated to each producing zone.xlsx,Reservoir rock allocated to each producing zone,data\raw\tables,tables,xlsx,0.01,ba21cce9b712283df92eaf53eca78a9f,en,,1.0,1,,,,,,False,,False,0,True,low
Seismic_Water_Bottom_Anomalies.xlsx,Seismic_Water_Bottom_Anomalies,data\raw\tables,tables,xlsx,0.063,d4759c18fb2715280a5267545ab5c267,en,,1.0,1,,,,,,False,,False,0,True,low
Tight oil production estimates by play.xls,Tight oil production estimates by play,data\raw\tables,tables,xls,0.072,2fe4f3c82bb639dfeb1f42bee9188a71,en,,1.0,1,,,,,,False,,False,0,True,low
W1 Well Logs.xlsx,W1 Well Logs,data\raw\tables,tables,xlsx,0.013,68d9f0343ab3e627ac72f97a8f11ab9c,en,,2.0,2,,,,,,False,,False,0,True,low
Box-plots-ranges-of-source-depths.jpg,Box-plots-ranges-of-source-depths,data\raw\images,images,jpg,0.182,d5f5dca6c03627eeb2647fd0dadb4b8c,unknown,,,0,96.0,45.105148899937916,4698.337442793668,232.3363596462709,96.0,True,-90.0,True,1,,high
Convolution_Polarity.jpg,Convolution_Polarity,data\raw\images,images,jpg,0.069,d1ac018ba15b5321f856edfee712c950,unknown,,,0,168.0,109.36509587533558,2039.8472858490848,183.63356420361885,168.0,True,-90.0,True,1,,high
defs_ref_data.jpg,defs_ref_data,data\raw\images,images,jpg,0.1,e78e80e7e827ee716981a73840fb0ac1,unknown,,,0,96.0,47.61383510240768,793.9391377426956,218.8291927625618,96.0,True,-90.0,True,1,,high
Example-of-a-near-seafloor-structure.jpg,Example-of-a-near-seafloor-structure,data\raw\images,images,jpg,0.587,6557b9f74c283c7cb4390ba9277c387c,unknown,,,0,96.0,60.754689004663746,5394.285758069174,217.04074149072918,96.0,True,-90.0,True,1,,high
Example-of-a-regional-seismic-line-from-the-eastern-Gulf-of-Mexico.jpg,Example-of-a-regional-seismic-line-from-the-eastern-Gulf-of-Mexico,data\raw\images,images,jpg,0.327,ec0cd8b431d3438f227f772a163d0864,unknown,,,0,96.0,47.359029235757745,3617.4242085273777,222.6375451788963,96.0,True,-90.0,True,1,,high
Facies-of-deepwater-depositional-systems-Shoup.jpg,Facies-of-deepwater-depositional-systems-Shoup,data\raw\images,images,jpg,0.319,7adf1d926ba0be29356efc41ee629b02,unknown,,,0,96.0,61.15689268845574,4258.276798277579,196.62196953338176,96.0,True,-90.0,True,1,,high
Geophysics_cheatsheet.png,Geophysics_cheatsheet,data\raw\images,images,png,1.098,4e8a1c9dd2dc1dfb2e1322ae74b227a4,unknown,,,0,150.01239999999999,47.810252047046916,3890.7825171925565,228.73299453883496,150.01239999999999,True,-90.0,True,1,,high
Integrated stratigraphic column of the Yingshan area.jpg,Integrated stratigraphic column of the Yingshan area,data\raw\images,images,jpg,0.51,57006775c596bbda828c93bcdd3bc984,unknown,,,0,96.0,47.83913331776063,2337.636916673733,230.7497154506073,96.0,True,-90.0,True,1,,high
Integrated workflow for high-resolution 3D seismic processing and quantitative interpretation.jpg,Integrated workflow for high-resolution 3D seismic processing and quantitative interpretation,data\raw\images,images,jpg,0.364,8f04865ba3ad89258aa000b86342dd34,unknown,,,0,96.0,62.68297383434515,9527.393236679613,229.34727281527182,96.0,True,0.0,True,1,,high
Northern-Gulf-of-Mexico-Basin-source-intervals-ages-hydrocarbon-families-and-summary.jpg,Northern-Gulf-of-Mexico-Basin-source-intervals-ages-hydrocarbon-families-and-summary,data\raw\images,images,jpg,0.533,48abca6d9bd2be797ea8ff4cf678dcc9,unknown,,,0,555.0,65.64056501489723,287.0782106432948,225.10539043916228,555.0,False,-90.0,True,1,,high
NW-SE-time-migrated-seismic-line-showing-extensional-basins-developed-atop-the-eastern.jpg,NW-SE-time-migrated-seismic-line-showing-extensional-basins-developed-atop-the-eastern,data\raw\images,images,jpg,0.379,afd4685648a21046e29f7f954890fcc1,unknown,,,0,96.0,67.19514522765063,12706.323345402303,215.44234395591656,96.0,True,0.0,True,1,,high
Postack - Seismic inversion (post-stacking vs pre-stacking).jpg,Postack - Seismic inversion (post-stacking vs pre-stacking),data\raw\images,images,jpg,0.102,09927ac26a2eb7bd6a7e43ca6ef4c7ef,unknown,,,0,96.0,49.096490450780564,2009.0410168815226,234.66536696847578,96.0,True,-90.0,True,1,,high
Prestack - Seismic inversion (post-stacking vs pre-stacking).jpg,Prestack - Seismic inversion (post-stacking vs pre-stacking),data\raw\images,images,jpg,0.129,a3e87fe33e10b070d852cbfe42791861,unknown,,,0,96.0,48.79148665117458,1042.9323884378698,232.39519214603405,96.0,True,0.0,True,1,,high
Regional-seismic-profile-showing-rift-structure-and-prerift-synrift-and-postrift.jpg,Regional-seismic-profile-showing-rift-structure-and-prerift-synrift-and-postrift,data\raw\images,images,jpg,0.285,ff4240c2a12a74afb10619f542b5b4c8,unknown,,,0,96.0,89.80991448021322,10809.90282706623,159.39538494208938,96.0,True,-90.0,True,1,,high
Regional-seismic-sections-across-the-northern-North-Sea-rift-from-north-to-south-See.jpg,Regional-seismic-sections-across-the-northern-North-Sea-rift-from-north-to-south-See,data\raw\images,images,jpg,0.323,7740a4ea095baec8bb1bba1b506545a7,unknown,,,0,96.0,39.394599389981394,5235.045441967666,216.7466282853567,96.0,True,-90.0,True,1,,high
Representative-E-W-seismic-line-through-the-salt-minibasins-and-salt-diapirs.jpg,Representative-E-W-seismic-line-through-the-salt-minibasins-and-salt-diapirs,data\raw\images,images,jpg,0.293,52857f0bfa7051009471b52ef54bf5c1,unknown,,,0,96.0,52.60457091679014,10919.108899172486,212.12223854691615,96.0,True,-90.0,True,1,,high
SE-NW-seismic-section.jpg,SE-NW-seismic-section,data\raw\images,images,jpg,0.328,b763450d6ae10f5ab01bd291eb726c9b,unknown,,,0,96.0,42.563180706281656,2927.626345402196,214.75717684800202,96.0,True,0.0,True,1,,high
SEG_EURO_Polarity.jpg,SEG_EURO_Polarity,data\raw\images,images,jpg,0.046,51880a80e61ddf2e29018e00fd23f926,unknown,,,0,96.0,48.602765019580964,1273.0926546036706,239.07020364415862,96.0,True,-90.0,True,1,,high
Seismic inversion (post-stacking vs pre-stacking).jpg,Seismic inversion (post-stacking vs pre-stacking),data\raw\images,images,jpg,0.075,349958f829c9bbfaed899338fd76a6fe,unknown,,,0,96.0,34.700663913919094,1728.8861483922412,238.394244587818,96.0,True,-90.0,True,1,,high
